FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,Block,ReusedCount,Class
1,2010-07-20,Falcon 9 B5,6924.9,LEO,CCAFS SLC-40,Success (ground pad),2,True,True,True,5,1,1
2,2010-06-21,Falcon 9 B5,8850.7,MEO,CCAFS SLC-40,Failure (drone ship),1,True,False,True,5,0,0
3,2010-06-12,Falcon 9,300.0,LEO,VAFB SLC-4E,Failure (drone ship),2,False,True,False,1,1,0
4,2010-04-25,Falcon 9,6827.6,GTO,CCAFS SLC-40,No attempt,3,False,True,False,1,2,0
5,2010-05-02,Falcon 9 B4,3252.6,GTO,CCAFS SLC-40,Failure (drone ship),2,True,True,True,4,1,0
6,2010-06-22,Falcon 9 B4,5144.1,LEO,VAFB SLC-4E,No attempt,3,True,True,True,4,2,0
7,2010-08-14,Falcon 9 v1.1,5245.6,ISS,CCAFS SLC-40,Failure (drone ship),1,False,False,True,2,0,0
8,2010-12-13,Falcon 9 v1.1,4837.6,MEO,CCAFS SLC-40,No attempt,1,False,False,True,2,0,0
9,2011-08-11,Falcon 9 v1.1,7547.3,GTO,VAFB SLC-4E,No attempt,2,False,True,True,2,1,0
10,2011-01-16,Falcon 9 FT,6991.1,PO,KSC LC-39A,Failure (drone ship),2,True,True,True,3,1,0
11,2011-03-01,Falcon 9 B4,3784.7,LEO,KSC LC-39A,Success (drone ship),1,True,False,True,4,0,1
12,2011-07-17,Falcon 9 FT,3643.4,GTO,VAFB SLC-4E,Failure (drone ship),2,True,True,True,3,1,0
13,2011-07-27,Falcon 9 B4,6144.7,ISS,CCAFS SLC-40,Failure (drone ship),1,True,False,True,4,0,0
14,2011-11-26,Falcon 9 v1.1,7472.6,ISS,VAFB SLC-4E,Success (ground pad),1,False,False,True,2,0,1
15,2011-09-03,Falcon 9,300.0,LEO,CCAFS SLC-40,No attempt,1,False,False,False,1,0,0
16,2011-08-09,Falcon 9 FT,6260.1,LEO,CCAFS SLC-40,Success (ground pad),2,True,True,True,3,1,1
17,2011-08-17,Falcon 9 FT,5358.4,LEO,CCAFS SLC-40,Failure (parachute),2,True,True,True,3,1,0
18,2012-06-23,Falcon 9 B4,6258.8,SSO,CCAFS SLC-40,Failure (drone ship),2,True,True,True,4,1,0
19,2012-11-16,Falcon 9 B5,5561.8,PO,VAFB SLC-4E,Failure (drone ship),3,True,True,True,5,2,0
20,2012-07-20,Falcon 9 B5,2866.4,ISS,KSC LC-39A,Failure (parachute),2,True,True,True,5,1,0
21,2012-10-03,Falcon 9 FT,1736.8,SO,VAFB SLC-4E,No attempt,1,True,False,True,3,0,0
22,2012-09-03,Falcon 9 B4,5761.8,MEO,VAFB SLC-4E,No attempt,4,True,True,True,4,3,0
23,2012-03-16,Falcon 9 v1.1,5884.6,PO,KSC LC-39A,Success (ground pad),1,False,False,True,2,0,1
