FlightNumber,Date,PayloadMass,Outcome,Flights,GridFins,Reused,Legs,Block,ReusedCount,Class,Year,BoosterCategory,Orbit_ES-L1,Orbit_GTO,Orbit_HEO,Orbit_ISS,Orbit_LEO,Orbit_MEO,Orbit_PO,Orbit_SO,Orbit_SSO,Orbit_VLEO,LaunchSite_CCAFS SLC-40,LaunchSite_KSC LC-39A,LaunchSite_VAFB SLC-4E,BoosterVersion_Falcon 9,BoosterVersion_Falcon 9 B4,BoosterVersion_Falcon 9 B5,BoosterVersion_Falcon 9 FT,BoosterVersion_Falcon 9 v1.1
1,2010-07-20,6924.9,Success (ground pad),2,1,1,1,5,1,1,2010,B5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2,2010-06-21,8850.7,Failure (drone ship),1,1,0,1,5,0,0,2010,B5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
3,2010-06-12,300.0,Failure (drone ship),2,0,1,0,1,1,0,2010,v1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
4,2010-04-25,6827.6,No attempt,3,0,1,0,1,2,0,2010,v1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5,2010-05-02,3252.6,Failure (drone ship),2,1,1,1,4,1,0,2010,B4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6,2010-06-22,5144.1,No attempt,3,1,1,1,4,2,0,2010,B4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
7,2010-08-14,5245.6,Failure (drone ship),1,0,0,1,2,0,0,2010,v1.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,2010-12-13,4837.6,No attempt,1,0,0,1,2,0,0,2010,v1.1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
9,2011-08-11,7547.3,No attempt,2,0,1,1,2,1,0,2011,v1.1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10,2011-01-16,6991.1,Failure (drone ship),2,1,1,1,3,1,0,2011,FT,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
11,2011-03-01,3784.7,Success (drone ship),1,1,0,1,4,0,1,2011,B4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
12,2011-07-17,3643.4,Failure (drone ship),2,1,1,1,3,1,0,2011,FT,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
13,2011-07-27,6144.7,Failure (drone ship),1,1,0,1,4,0,0,2011,B4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
14,2011-11-26,7472.6,Success (ground pad),1,0,0,1,2,0,1,2011,v1.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
15,2011-09-03,300.0,No attempt,1,0,0,0,1,0,0,2011,v1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
16,2011-08-09,6260.1,Success (ground pad),2,1,1,1,3,1,1,2011,FT,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
17,2011-08-17,5358.4,Failure (parachute),2,1,1,1,3,1,0,2011,FT,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
18,2012-06-23,6258.8,Failure (drone ship),2,1,1,1,4,1,0,2012,B4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
19,2012-11-16,5561.8,Failure (drone ship),3,1,1,1,5,2,0,2012,B5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
